Neutral Citation,Instrument
2020_IEHC_532,Criminal Justice (Theft and Fraud Offences) Act
2020_IEHC_532,European Arrest Warrant Act 2003
2020_IEHC_532,European Convention
2020_IEHC_561,Criminal Justice (United Nations Convention Against Torture) Act
2020_IEHC_561,European Convention
2020_IEHC_561,Immigration Act 1999
2020_IEHC_569,European Arrest Warrant Act 2003
2020_IEHC_571,European Convention
2020_IEHC_571,Human Rights Act 2003
2020_IEHC_571,International Protection Act 2015
2020_IEHC_573,Criminal Code
2020_IEHC_573,Criminal Justice Act
2020_IEHC_573,Criminal Procedure (Scotland) Act
2020_IEHC_573,European Arrest Warrant Act 2003
2020_IEHC_573,European Convention
2020_IEHC_573,Lisbon Treaty
2020_IEHC_582,European Arrest Warrant Act
2020_IEHC_582,Road Traffic Act
2020_IEHC_588,Illegal Immigrants (Trafficking) Act 2000
2020_IEHC_588,Immigration Act 1999
2020_IEHC_598,Criminal Justice (Theft and Fraud Offences) Act
2020_IEHC_598,European Arrest Warrant Act
2020_IEHC_598,European Convention
2020_IEHC_598,Road Traffic Act
2020_IEHC_606,Council Framework Decision 2002/584
2020_IEHC_606,Council Framework Decision 2009/299/JHA
2020_IEHC_606,Criminal Justice (Offences Relating to Information Systems) Act 2017
2020_IEHC_606,Criminal Justice (Public Order) Act
2020_IEHC_606,Criminal Justice (Theft and Fraud Offences) Act
2020_IEHC_606,European Arrest Warrant Act 2003
2020_IEHC_606,European Convention
2020_IEHC_607,Council Framework Decision 2009/299/JHA
2020_IEHC_607,Criminal Code
2020_IEHC_607,Criminal Justice and Public Order Act
2020_IEHC_607,ECHR Act 2006
2020_IEHC_607,European Arrest Warrant Act 2003
2020_IEHC_607,European Convention
2020_IEHC_607,Road Traffic Act 2010
2020_IEHC_648,Dublin III Regulation
2020_IEHC_648,European Union (Withdrawal) Act 2018
2020_IEHC_648,Geneva Convention
2020_IEHC_649,Immigration Act 1999
2020_IEHC_657,European Arrest Warrant Act
2020_IEHC_657,European Convention
2020_IEHC_657,European Union (Consequential Provisions) Act
2020_IEHC_680,Criminal Damage Act
2020_IEHC_680,Criminal Justice (Theft and Fraud Offences) Act
2020_IEHC_680,European Arrest Warrant Act 2003
2020_IEHC_682,European Arrest Warrant Act 2003
2020_IEHC_690,European Arrest Warrant Act
2020_IEHC_690,European Convention
2020_IEHC_690,Extradition Act 1965
2020_IEHC_690,Firearms Act
2020_IEHC_690,Misuse of Drugs Act
2020_IEHC_692,Criminal Justice (Theft and Fraud Offences) Act
2020_IEHC_692,European Arrest Warrant Act
2020_IEHC_692,European Convention
2020_IEHC_694,European Arrest Warrant Act
2020_IEHC_695,Criminal Justice (Theft and Fraud Offences) Act
2020_IEHC_695,European Arrest Warrant Act
2020_IEHC_695,European Convention
2020_IEHC_699,European Arrest Warrant Act
2020_IEHC_699,European Convention
2020_IEHC_699,Road Traffic Act
2020_IESC_27,Citizens Directive
2020_IESC_27,EU Treaty
2020_IESC_27,European Communities (Free Movement of Persons) Regulations 2015
2020_IESC_27,Immigration (European Economic Area) Regulations 2016
2020_IESC_30,Adoption Act 1952
2020_IESC_30,Citizens Directive
2020_IESC_30,Civil Liability Act 1961
2020_IESC_30,Constitution
2020_IESC_30,Council Directive 2004/83
2020_IESC_30,European Communities Act 1972
2020_IESC_30,European Convention
2020_IESC_30,European Union (Subsidiary Protection) Regulations 2013
2020_IESC_30,Family Law (Divorce) Act 1996
2020_IESC_30,Family Law (Maintenance of Spouses and Children) Act 1976
2020_IESC_30,Family Reunification Directive
2020_IESC_30,Geneva Convention
2020_IESC_30,International Protection Act 2015
2020_IESC_30,Interpretation Act 2005
2020_IESC_30,Qualification Directive
2020_IESC_30,Refugee Act 1996
2020_IESC_30,Residential Tenancies Act 2004
2020_IESC_30,Status of Children Act 1987
2020_IESC_30,Succession Act 1965
2020_IESC_30,United Nations Convention
2020_IESC_40,Council Framework Decision 2002/584
2020_IESC_40,Council Framework Decision 2009/299/JHA
2020_IESC_40,European Arrest Warrant Act 2003
2020_IESC_48,Civil Registration (Amendment) Act 2014
2020_IESC_48,Civil Registration Act 2004
2020_IESC_48,Council Directive 2004/38
2020_IESC_48,European Convention
2020_IESC_48,Family Law Act 1995
2020_IESC_48,Family Law Act 2019
2020_IESC_48,Immigration Act 1999
2020_IESC_48,Interpretation Act 2005
2020_IESC_62,Council Directive 2004/83
2020_IESC_62,Council Directive 2005/85
2020_IESC_62,Criminal Law (Rape) (Amendment) Act 1990
2020_IESC_62,Immigration Act 1999
2020_IESC_62,International Protection Act 2015
2020_IESC_62,Qualification Directive
2020_IESC_62,Refugee Convention 1951
2020_IESC_62,United Nations Convention
2020_IESC_63,British Nationality Act 1948
2020_IESC_63,Constitution
2020_IESC_63,Criminal Law Act 1976
2020_IESC_63,European Arrest Warrant Act
2020_IESC_63,European Convention
2020_IESC_63,Extradition Act 1965
2020_IESC_63,Garda Siochana (Discipline) Regulations
2020_IESC_63,Human Rights Act 1948
2020_IESC_63,Human Rights Act 2003
2020_IESC_63,International Protection Act 2015
2020_IESC_63,Irish Nationality and Citizenship Act 1956
2020_IESC_63,Offences Against the State Act 1939
2020_IESC_63,Refugee Act 1996
2020_IESC_73,Citizens Directive
2020_IESC_78,Citizens Directive
2020_IESC_78,United Kingdom Immigration Rules
2021_IECA_1,Citizens Rights Directive
2021_IECA_1,EC Treaty
2021_IECA_1,EU Treaty
2021_IECA_1,European Convention
2021_IECA_1,Immigration Act 1999
2021_IECA_1,Residential Tenancies Act 2004
2021_IECA_106,Council Directive 2004/83
2021_IECA_106,European Union (Subsidiary Protection) Regulations 2013
2021_IECA_106,Illegal Immigrants (Trafficking) Act 2000
2021_IECA_106,Immigration Act 1999
2021_IECA_106,International Protection Act 2015
2021_IECA_106,Qualification Directive
2021_IECA_106,Refugee Act 1996
2021_IECA_111,Legal Services Regulation Act 2015
2021_IECA_119,Council Directive 2005/85
2021_IECA_119,European Convention
2021_IECA_119,Illegal Immigrants (Trafficking) Act 2000
2021_IECA_119,Immigration Act 1999
2021_IECA_159,Council Framework Decision 2002/584
2021_IECA_159,Criminal Justice (Terrorist Offences) Act
2021_IECA_159,EAW Act
2021_IECA_159,European Arrest Warrant Act
2021_IECA_16,Citizens Rights Directive
2021_IECA_16,EU Treaty
2021_IECA_16,European Communities (Free Movement of Persons) Regulations 2015
2021_IECA_16,European Convention
2021_IECA_16,Human Rights Act 2003
2021_IECA_16,United Kingdom Immigration Rules
2021_IECA_165,Council Framework Decision 2002/584
2021_IECA_165,Criminal Justice Act
2021_IECA_165,Criminal Law (Extraterritorial Jurisdiction) Act
2021_IECA_165,European Arrest Warrant Act
2021_IECA_165,European Convention
2021_IECA_165,European Union (European Arrest Warrant) Act 2003
2021_IECA_165,Extradition Act
2021_IECA_165,Offences Against the Person Act
2021_IECA_188,European Arrest Warrant Act 2003
2021_IECA_188,European Convention
2021_IECA_209,Council Framework Decision 2002/584
2021_IECA_209,Criminal Justice Act 2006
2021_IECA_209,European Arrest Warrant Act 2003
2021_IECA_209,European Convention
2021_IECA_210,Council Framework Decision 2009/299/JHA
2021_IECA_210,Council Framework Decision 2002/584
2021_IECA_210,European Arrest Warrant Act 2003
2021_IECA_210,European Convention
2021_IECA_219,European Council Framework Decision
2021_IECA_219,Criminal Code
2021_IECA_219,Criminal Justice (Miscellaneous Provisions) Act 2009
2021_IECA_219,Criminal Justice (Terrorist Offences) Act 2005
2021_IECA_219,European Arrest Warrant Act 2003
2021_IECA_219,European Convention
2021_IECA_219,Human Rights Act 1950
2021_IECA_219,Lithuanian Criminal Code
2021_IECA_242,EU Treaty
2021_IECA_242,Immigration Act 1999
2021_IECA_243,Criminal Law (Rape) (Amendment) Act 1990
2021_IECA_247,Judicial Council Act 2019
2021_IECA_248,Central Bank Act
2021_IECA_248,Consumer Credit Act
2021_IECA_248,Conveyancing Act
2021_IECA_248,European Convention
2021_IECA_248,Land and Conveyancing Law Reform Act 2009
2021_IECA_249,Civil Liability Act
2021_IECA_249,Road Traffic Act
2021_IECA_250,European Convention
2021_IECA_250,Human Rights Act 2003
2021_IECA_250,Property Services Regulation Act 2011
2021_IECA_250,Property Services Regulation Act 2011
2021_IECA_251,European Convention
2021_IECA_251,Irish Bank Resolution Corporation Act
2021_IECA_252,Civil Liability and Courts Act
2021_IECA_255,Legal Services Regulation Act 2015
2021_IECA_258,Central Bank Act 1971
2021_IECA_258,Legal Services Regulation Act 2015
2021_IECA_259,Aarhus Convention
2021_IECA_259,Council Directive 85/337
2021_IECA_259,EIA Directive
2021_IECA_259,Environment (Miscellaneous Provisions) Act 2011
2021_IECA_259,Environmental Impact Assessment Directive
2021_IECA_259,European Convention
2021_IECA_259,Habitats Directive
2021_IECA_259,Industrial Emissions Directive
2021_IECA_259,Interpretation Act 2005
2021_IECA_259,Justice Council Directive 85/337/EEC
2021_IECA_259,Legal Services Regulation Act 2015
2021_IECA_259,Local Government (Water Pollution) Act 1977
2021_IECA_259,Planning and Development (Amendment) Act 2018
2021_IECA_259,Planning and Development Act 2000
2021_IECA_259,Planning and Development Regulations 2001
2021_IECA_259,Public Participation Directive 1985
2021_IECA_259,Public Participation Directive 2003
2021_IECA_259,Roads Act 1993
2021_IECA_259,SEA Directive
2021_IECA_259,Strategic Environmental Assessment Directive
2021_IECA_259,Waste Management Act 1996
2021_IECA_259,Water Services Act 2007
2021_IECA_260,Legal Aid (Custody Issues Scheme)
2021_IECA_260,Legal Services Regulation Act 2015
2021_IECA_261,Criminal Justice Act
2021_IECA_261,Misuse of Drugs Act
2021_IECA_261,Offences Against the State (Amendment) Act
2021_IECA_268,Building Control Act 1990
2021_IECA_268,Building Regulations
2021_IECA_268,Latent Damage Act 1986
2021_IECA_268,Liability for Defective Products Act 1991
2021_IECA_268,Planning and Development Act 2000
2021_IECA_268,Statute of Limitations (Amendment) Act
2021_IECA_268,Statute of Limitations Act 1957
2021_IECA_269,Companies Act 1990
2021_IECA_269,Latent Damage Act 1986
2021_IECA_269,Statute of Limitations Act 1957
2021_IECA_271,Road Traffic Act 1961
2021_IECA_273,European Convention
2021_IECA_274,Harbours Act
2021_IECA_274,Local Government Act 2001
2021_IECA_275,Criminal Justice Act 2006
2021_IECA_275,Criminal Procedure Act 1865
2021_IECA_275,Misuse of Drugs Act
2021_IECA_276,Criminal Justice (Administration) Act 1924
2021_IECA_279,Criminal Justice (Theft and Fraud Offences) Act
2021_IECA_280,Children Act 2001
2021_IECA_280,Criminal Justice (Theft and Fraud Offences) Act
2021_IECA_280,Criminal Justice Act 1951
2021_IECA_281,Misuse of Drugs Act 1977
2021_IECA_282,Conveyancing and Law of Property Act 1881
2021_IECA_283,Disability Act 2005
2021_IECA_283,Education Act
2021_IECA_283,EPSEN Act
2021_IECA_283,Health Act 1947
2021_IECA_283,Interpretation Act
2021_IECA_283,Disability Act
2021_IECA_285,Criminal Law (Insanity) Act
2021_IECA_285,Disability Act
2021_IECA_285,EPSEN Act
2021_IECA_285,Health Act
2021_IECA_285,Special Educational Needs Act
2021_IECA_286,European Communities (Free Movement of Persons) Regulations
2021_IECA_286,European Convention
2021_IECA_286,Immigration Act 1999
2021_IECA_286,International Protection Act 2015
2021_IECA_287,European Convention
2021_IECA_287,Statute of Limitations Act
2021_IECA_287,Statute of Limitations (Amendment) Act
2021_IECA_290,Offences Against the Person Act 1997
2021_IECA_290,Courts (Supplemental Provisions) Act 1961
2021_IECA_290,Criminal Justice (Public Order) Act 1994
2021_IECA_290,Criminal Law Act 1996
2021_IECA_290,Criminal Law Act 1997
2021_IECA_290,Immigration Act 1999
2021_IECA_291,Planning and Development Regulations 2001
2021_IECA_291,Statute of Limitations Act
2021_IECA_292,Companies Act
2021_IECA_292,Land and Conveyancing Law Reform Act
2021_IECA_292,Legal Services Regulation Act
2021_IECA_292,Personal Insolvency (Amendment) Act
2021_IECA_292,Personal Insolvency Act 2012
2021_IECA_295,Civil Legal Aid Act 1995
2021_IECA_295,Criminal Assets Bureau Act
2021_IECA_295,Proceeds of Crime Act
2021_IECA_295,Proceeds of Crime Act 1996
2021_IECA_295,Proceeds of Crime Act 1996
2021_IECA_296,Dublin III Regulation
2021_IECA_296,European Convention
2021_IECA_297,Civil Liability and Courts Act
2021_IECA_297,Interpretation Act
2021_IECA_297,Legal Services Regulation Act
2021_IECA_297,Liability for Defective Products Act 1991
2021_IECA_297,Personal Injuries Assessment Board Act
2021_IECA_297,PIAB Act 2003
2021_IECA_298,Citizens Rights Directive
2021_IECA_298,EU Treaty
2021_IECA_298,European Communities (Free Movement of Persons) Regulations 2006
2021_IECA_298,European Communities (Free Movement of Persons) Regulations 2015
2021_IECA_299,International Protection Act 2015
2021_IECA_299,Refugee Act 1996
2021_IECA_300,Bankruptcy and Insolvency Act 1857
2021_IECA_300,Finance (Tax Appeals) Act
2021_IECA_300,Income Tax Act 1967
2021_IECA_300,Taxes Consolidation Act
2021_IECA_300,Value Added Tax Act 2010
2021_IECA_302,Criminal Justice (Theft and Fraud Offences) Act 2001
2021_IECA_302,Extradition (European Union Conventions) Act 2001
2021_IECA_302,Extradition Act
2021_IECA_302,Hague Convention
2021_IECA_302,Larceny Act
2021_IECA_302,Theft Act 1968
2021_IECA_303,Brussels Regulation
2021_IECA_303,European Convention
2021_IECA_304,Criminal Justice (Theft and Fraud Offences) Act
2021_IECA_306,Competition Act
2021_IECA_306,Criminal Evidence Act 1992
2021_IECA_306,Criminal Justice (Miscellaneous Provisions) Act 1997
2021_IECA_306,Criminal Justice (Mutual Assistance) Act 2008
2021_IECA_306,Criminal Justice Act 2006
2021_IECA_306,Criminal Justice Act 2007
2021_IECA_306,Criminal Law Act 1997
2021_IECA_306,European Convention
2021_IECA_307,Environmental Impact Assessment Regulations 2018
2021_IECA_307,Illegal Immigrants (Trafficking) Act 2000
2021_IECA_307,Planning and Development Act 2000
2021_IECA_307,Planning and Development Regulations 2001
2021_IECA_308,Child Trafficking and Pornography Act 1988
2021_IECA_308,Criminal Law (Human Trafficking) Act 2008
2021_IECA_308,Criminal Law (Sexual Offences) Act 2006
2021_IECA_308,Criminal Law (Sexual Offences) Act 2017
2021_IECA_308,Criminal Procedure Act 1967
2021_IECA_308,Sex Offenders Act 2001
2021_IECA_310,Defamation Act
2021_IECA_312,Child Trafficking and Pornography Act 1998
2021_IECA_312,Criminal Law (Human Trafficking) Act 2008
2021_IECA_312,Criminal Law (Rape) (Amendment) Act 1990
2021_IECA_312,Sex Offenders Act 2001
2021_IECA_313,Child Trafficking and Pornography Act 1998
2021_IECA_313,Sex Offenders Act
2021_IECA_314,Aarhus Convention
2021_IECA_314,Legal Services Regulation Act 2015
2021_IECA_314,Planning and Development Act 2000
2021_IECA_314,SEA Directive
2021_IECA_314,Strategic Environmental Assessment Directive
2021_IECA_315,Children Act 2001
2021_IECA_315,Constitution
2021_IECA_315,Criminal Justice (Female Genital Mutilation) Act
2021_IECA_315,Criminal Law (Human Trafficking) Act 2008
2021_IECA_315,European Arrest Warrant Act
2021_IECA_315,European Communities Act 1972
2021_IECA_315,European Convention
2021_IECA_315,Garda Siochana (Stations) Regulations
2021_IECA_315,Sex Offenders Act 2001
2021_IECA_316,Civil Liability Act 1961
2021_IECA_316,Companies Act 1990
2021_IECA_316,Courts Act
2021_IECA_317,Birds and Habitats Regulations 2011
2021_IECA_317,Constitution
2021_IECA_317,EIA Directive
2021_IECA_317,Habitats Directive
2021_IECA_317,Habitats Directive
2021_IECA_317,Habitats Regulations
2021_IECA_317,Interpretation Act 2015
2021_IECA_317,National Planning Framework
2021_IECA_317,Natura 2000
2021_IECA_317,Natural Habitats Regulations 2011
2021_IECA_317,Planning and Development Act 2000
2021_IECA_317,SEA Directive
2021_IECA_319,Road Traffic Act
2021_IECA_320,Criminal Damage Act 1991
2021_IECA_320,Criminal Justice Act 1999
2021_IECA_320,Person Act 1997
2021_IECA_321,Criminal Justice (Theft and Fraud Offences) Act 2001
2021_IECA_321,Criminal Justice Act 1993
2021_IECA_321,Criminal Justice Act 2006
2021_IECA_322,Child Trafficking and Pornography Act 1998
2021_IECA_322,Children Act 2001
2021_IECA_322,Criminal Justice Act
2021_IECA_322,Criminal Law (Human Trafficking) Act 2008
2021_IECA_322,Criminal Law (Sexual Offences) (Amendment) Act 2007
2021_IECA_322,Criminal Law (Sexual Offences) Act 2006
2021_IECA_322,Criminal Law (Sexual Offences) Act 2017
2021_IECA_322,Misuse of Drugs Act 1977
2021_IECA_322,Sex Offenders Act 2001
2021_IECA_325,Civil Liability Act 1961
2021_IECA_325,Prevention of Corruption Act
2021_IECA_325,Prevention of Corruption Act 1906
2021_IECA_326,Criminal Justice Act 1993
2021_IECA_326,Firearms Act 1964
2021_IECA_327,Criminal Justice (Theft and Fraud Offences) Act 2001
2021_IECA_327,Social Welfare Regulations
2021_IECA_327,Solicitors (Amendment) Act
2021_IECA_327,Solicitors (Amendment) Act 1950
2021_IECA_327,Solicitors (Amendment) Act 1960
2021_IECA_327,Solicitors (Amendment) Act 1994
2021_IECA_327,Solicitors (Amendment) Act 2002
2021_IECA_328,Garda Siochana (Discipline) Regulations
2021_IECA_329,Civil Liability and Courts Act
2021_IECA_329,Judicial Council Act 2019
2021_IECA_331,Criminal Justice (Money Laundering and Terrorist Financing) Act 2010
2021_IECA_332,Residential Tenancies Act
2021_IECA_332,Solicitors (Amendment) Act
2021_IECA_332,Solicitors Accounts Regulations
2021_IECA_333,Criminal Damage Act 1991
2021_IECA_333,Criminal Justice (Theft and Fraud Offences) Act 2001
2021_IECA_333,Person Act 1997
2021_IECA_333,Road Traffic Act
2021_IECA_334,Finance Act 1989
2021_IECA_334,Finance Act 2005
2021_IECA_334,Value Added Tax Act 1972
2021_IECA_334,VAT Act
2021_IECA_335,Courts (Supplemental Provisions) Act 1961
2021_IECA_335,Courts of Justice Act 1936
2021_IECA_335,Equal Status Act 2000
2021_IECA_335,European Convention
2021_IECA_335,Freedom of Information Act 1997
2021_IECA_335,Protected Disclosures Act 2014
2021_IECA_335,Residential Tenancies Act 2004
2021_IECA_335,Unfair Dismissals Act 1977
2021_IECA_335,Workplace Relations Act 2015
2021_IECA_336,European Convention
2021_IECA_336,Legal Services Regulation Act 2015
2021_IECA_337,Companies Act 1963
2021_IECA_337,Companies Act 2014
2021_IECA_337,Conveyancing Law Reform Act 2009
2021_IECA_337,Judicature Act
2021_IECA_337,Legal Services Regulation Act 2015
2021_IECA_337,Trustee Act 1893
2021_IECA_338,Criminal Damage Act 1991
2021_IECA_338,Criminal Justice (Theft and Fraud Offences) Act 2001
2021_IECA_338,Criminal Justice Act 1984
2021_IECA_338,Theft Act 2000
2021_IECA_339,Citizens Directive
2021_IECA_339,Citizenship Directive
2021_IECA_341,Roads Act 1993
2021_IECA_341,Roads Act 1973
2021_IECA_341,Roads Act 1993
2021_IECA_342,Criminal Justice (Money Laundering and Terrorist Financing) Act 2010
2021_IECA_342,Criminal Justice (Terrorist Offences) Act 2005
2021_IECA_342,Criminal Law Act 1976
2021_IECA_342,Criminal Procedure Act 2010
2021_IECA_342,Criminal Procedure Act 2021
2021_IECA_342,Garda Siochana Act 2005
2021_IECA_342,Offences Against the State (Amendment) Act 1972
2021_IECA_342,Offences Against the State Act 1939
